X,Y,Z
-2.7251,-85.2705,-0.6241
-1.2519,-85.2922,-0.6278
0.2213,-85.2889,-0.6314
1.6939,-85.2605,-0.6349
3.1657,-85.2058,-0.6386
4.6360,-85.1261,-0.6423
6.1046,-85.0212,-0.6459
7.5709,-84.8913,-0.6494
9.0346,-84.7353,-0.6532
10.4951,-84.5544,-0.6569
11.9521,-84.3485,-0.6605
13.4051,-84.1179,-0.6641
14.8536,-83.8614,-0.6679
16.2973,-83.5802,-0.6717
17.7358,-83.2746,-0.6753
19.1687,-82.9443,-0.6789
20.5952,-82.5886,-0.6828
22.0153,-82.2089,-0.6865
23.4285,-81.8050,-0.6902
24.8342,-81.3766,-0.6939
26.2320,-80.9238,-0.6978
27.6217,-80.4472,-0.7016
29.0029,-79.9470,-0.7053
30.3749,-79.4229,-0.7090
31.7374,-78.8750,-0.7129
33.0901,-78.3039,-0.7167
34.4327,-77.7101,-0.7204
35.7645,-77.0926,-0.7243
37.0850,-76.4521,-0.7283
38.3943,-75.7894,-0.7322
39.6919,-75.1045,-0.7360
40.9769,-74.3968,-0.7400
42.2494,-73.6672,-0.7440
43.5091,-72.9161,-0.7479
44.7557,-72.1438,-0.7517
45.9881,-71.3495,-0.7558
47.2065,-70.5343,-0.7598
48.4107,-69.6986,-0.7638
49.6003,-68.8427,-0.7676
50.7742,-67.9656,-0.7717
51.9329,-67.0688,-0.7758
53.0759,-66.1526,-0.7797
54.2029,-65.2170,-0.7836
55.3128,-64.2617,-0.7878
56.4062,-63.2877,-0.7919
57.4827,-62.2954,-0.7958
58.5417,-61.2847,-0.7998
59.5826,-60.2556,-0.8040
60.6056,-59.2091,-0.8081
61.6105,-58.1455,-0.8121
62.5965,-57.0647,-0.8161
63.5633,-55.9669,-0.8204
64.5111,-54.8530,-0.8245
65.4398,-53.7232,-0.8285
66.3482,-52.5775,-0.8326
67.2365,-51.4163,-0.8369
68.1047,-50.2403,-0.8410
68.9526,-49.0498,-0.8450
69.7794,-47.8448,-0.8492
70.5849,-46.6258,-0.8535
71.3694,-45.3933,-0.8577
72.1328,-44.1479,-0.8617
72.8739,-42.8894,-0.8660
73.5929,-41.6184,-0.8703
74.2901,-40.3355,-0.8745
74.9652,-39.0411,-0.8786
75.6172,-37.7351,-0.8830
76.2463,-36.4182,-0.8874
76.8529,-35.0910,-0.8917
77.4367,-33.7538,-0.8958
77.9967,-32.4067,-0.9002
78.5332,-31.0503,-0.9046
79.0464,-29.6851,-0.9090
79.5362,-28.3117,-0.9132
80.0018,-26.9300,-0.9175
80.4430,-25.5406,-0.9220
80.8605,-24.1440,-0.9264
81.2541,-22.7408,-0.9307
81.6231,-21.3312,-0.9350
81.9672,-19.9154,-0.9395
82.2870,-18.4942,-0.9440
82.5825,-17.0679,-0.9483
82.8536,-15.6370,-0.9526
83.0989,-14.2017,-0.9572
83.3196,-12.7626,-0.9617
83.5157,-11.3202,-0.9661
83.6872,-9.8748,-0.9705
83.8331,-8.4269,-0.9750
83.9538,-6.9768,-0.9796
84.0497,-5.5251,-0.9841
84.1208,-4.0722,-0.9885
84.1669,-2.6184,-0.9929
84.1871,-1.1643,-0.9976
84.1861,-0.0000,-1.0010
84.1861,-0.0000,-1.0010
84.1664,1.4720,-1.0036
84.1213,2.9434,-1.0060
84.0508,4.4137,-1.0084
83.9548,5.8823,-1.0106
83.8330,7.3490,-1.0130
83.6851,8.8132,-1.0155
83.5119,10.2745,-1.0179
83.3135,11.7324,-1.0202
83.0898,13.1866,-1.0224
82.8400,14.6364,-1.0249
82.5652,16.0816,-1.0274
82.2654,17.5217,-1.0297
81.9407,18.9563,-1.0320
81.5905,20.3847,-1.0344
81.2154,21.8067,-1.0368
80.8158,23.2219,-1.0392
80.3917,24.6299,-1.0415
79.9429,26.0300,-1.0438
79.4694,27.4219,-1.0463
78.9720,28.8053,-1.0487
78.4508,30.1797,-1.0509
77.9054,31.5447,-1.0533
77.3360,32.8997,-1.0558
76.7433,34.2446,-1.0581
76.1275,35.5789,-1.0604
75.4883,36.9020,-1.0627
74.8257,38.2135,-1.0652
74.1407,39.5133,-1.0676
73.4333,40.8010,-1.0699
72.7035,42.0759,-1.0722
71.9511,43.3375,-1.0747
71.1772,44.5859,-1.0771
70.3818,45.8206,-1.0793
69.5648,47.0410,-1.0817
68.7264,48.2467,-1.0841
67.8674,49.4376,-1.0865
66.9879,50.6133,-1.0888
66.0879,51.7733,-1.0912
65.1676,52.9172,-1.0936
64.2278,54.0448,-1.0959
63.2686,55.1559,-1.0982
62.2899,56.2498,-1.1006
61.2923,57.3263,-1.1031
60.2763,58.3853,-1.1054
59.2420,59.4263,-1.1077
58.1895,60.4488,-1.1101
57.1194,61.4527,-1.1125
56.0323,62.4379,-1.1148
54.9281,63.4038,-1.1172
53.8070,64.3499,-1.1196
52.6697,65.2764,-1.1220
51.5168,66.1830,-1.1243
50.3480,67.0691,-1.1266
49.1639,67.9343,-1.1291
47.9650,68.7788,-1.1315
46.7519,69.6024,-1.1337
45.5244,70.4044,-1.1361
44.2831,71.1845,-1.1386
43.0285,71.9430,-1.1409
41.7612,72.6797,-1.1431
40.4809,73.3936,-1.1456
39.1885,74.0849,-1.1480
37.8844,74.7537,-1.1504
36.5690,75.3998,-1.1526
35.2423,76.0223,-1.1551
33.9052,76.6216,-1.1575
32.5579,77.1975,-1.1598
31.2009,77.7498,-1.1621
29.8344,78.2779,-1.1646
28.4590,78.7822,-1.1670
27.0752,79.2625,-1.1693
25.6832,79.7184,-1.1716
24.2835,80.1496,-1.1741
22.8767,80.5564,-1.1765
21.4631,80.9389,-1.1787
20.0431,81.2962,-1.1812
18.6171,81.6284,-1.1837
17.1856,81.9359,-1.1860
15.7492,82.2187,-1.1882
14.3133,82.4746,-1.1907
12.8626,82.7067,-1.1934
11.4135,82.9130,-1.1959
9.9612,83.0943,-1.1983
8.5060,83.2495,-1.2009
7.0484,83.3792,-1.2036
