X,Y,Z
72.1266,-71.9271,-17.0826
71.6173,-71.2726,-17.7120
71.6173,1.2274,-17.7120
71.1977,-0.8530,-18.2120
71.7406,71.5566,-17.5379
71.8715,71.8802,-17.2921
71.5076,71.7071,-17.5826
70.8530,71.1977,-18.2120
-71.5566,71.7406,-17.5379
-71.8802,71.8715,-17.2921
-71.7071,71.5076,-17.5826
-71.1977,70.8530,-18.2120
-71.7406,-71.5566,-17.5379
-71.8715,-71.8802,-17.2921
-71.5076,-71.7071,-17.5826
-70.8530,-71.1977,-18.2120
71.5566,-71.7406,-17.5379
71.8802,-71.8715,-17.2921
71.7071,-71.5076,-17.5826
71.1977,-70.8530,-18.2120
71.1977,-0.8530,-18.2120
70.7782,-0.4335,-18.7120
71.3210,71.1371,-18.0379
71.4520,71.4606,-17.7921
71.0881,71.2875,-18.0826
70.4335,70.7782,-18.7120
-71.1371,71.3210,-18.0379
-71.4606,71.4520,-17.7921
-71.2875,71.0881,-18.0826
-70.7782,70.4335,-18.7120
-71.3210,-71.1371,-18.0379
-71.4520,-71.4606,-17.7921
-71.0881,-71.2875,-18.0826
-70.4335,-70.7782,-18.7120
71.1371,-71.3210,-18.0379
71.4606,-71.4520,-17.7921
71.2875,-71.0881,-18.0826
70.7782,-70.4335,-18.7120
70.7782,-0.4335,-18.7120
70.3586,-0.0139,-19.2120
70.9015,70.7175,-18.5379
71.0324,71.0411,-18.2921
70.6685,70.8680,-18.5826
70.0139,70.3586,-19.2120
-70.7175,70.9015,-18.5379
-71.0411,71.0324,-18.2921
-70.8680,70.6685,-18.5826
-70.3586,70.0139,-19.2120
-70.9015,-70.7175,-18.5379
-71.0324,-71.0411,-18.2921
-70.6685,-70.8680,-18.5826
-70.0139,-70.3586,-19.2120
70.7175,-70.9015,-18.5379
71.0411,-71.0324,-18.2921
70.8680,-70.6685,-18.5826
70.3586,-70.0139,-19.2120
70.3586,-0.0139,-19.2120
69.9391,0.4056,-19.7120
70.4819,70.2980,-19.0379
70.6129,70.6215,-18.7921
70.2489,70.4484,-19.0826
69.5944,69.9391,-19.7120
-70.2980,70.4819,-19.0379
-70.6215,70.6129,-18.7921
-70.4484,70.2489,-19.0826
-69.9391,69.5944,-19.7120
-70.4819,-70.2980,-19.0379
-70.6129,-70.6215,-18.7921
-70.2489,-70.4484,-19.0826
-69.5944,-69.9391,-19.7120
70.2980,-70.4819,-19.0379
70.6215,-70.6129,-18.7921
70.4484,-70.2489,-19.0826
69.9391,-69.5944,-19.7120
69.9391,0.4056,-19.7120
69.5195,0.8252,-20.2120
70.0624,69.8784,-19.5379
70.1933,70.2020,-19.2921
69.8294,70.0289,-19.5826
69.1748,69.5195,-20.2120
-69.8784,70.0624,-19.5379
-70.2020,70.1933,-19.2921
-70.0289,69.8294,-19.5826
-69.5195,69.1748,-20.2120
-70.0624,-69.8784,-19.5379
-70.1933,-70.2020,-19.2921
-69.8294,-70.0289,-19.5826
-69.1748,-69.5195,-20.2120
69.8784,-70.0624,-19.5379
70.2020,-70.1933,-19.2921
70.0289,-69.8294,-19.5826
69.5195,-69.1748,-20.2120
69.5195,0.8252,-20.2120
69.1000,1.2447,-20.7120
69.6428,69.4589,-20.0379
69.7738,69.7824,-19.7921
69.4099,69.6093,-20.0826
68.7553,69.1000,-20.7120
-69.4589,69.6428,-20.0379
-69.7824,69.7738,-19.7921
-69.6093,69.4099,-20.0826
-69.1000,68.7553,-20.7120
-69.6428,-69.4589,-20.0379
-69.7738,-69.7824,-19.7921
-69.4099,-69.6093,-20.0826
-68.7553,-69.1000,-20.7120
69.4589,-69.6428,-20.0379
69.7824,-69.7738,-19.7921
69.6093,-69.4099,-20.0826
69.1000,-68.7553,-20.7120
69.1000,1.2447,-20.7120
68.6804,-0.8357,-21.2120
69.2233,69.0393,-20.5379
69.3542,69.3629,-20.2921
68.9903,69.1898,-20.5826
68.3357,68.6804,-21.2120
-69.0393,69.2233,-20.5379
-69.3629,69.3542,-20.2921
